"","Country","Primary reform exposure","Number of children","% wasted","% exposed to drought"
"1","Benin",0,6882,16.6,17.3
"2","Burundi",0,3216,6.2,9.3
"3","Cameroon",0,4969,6.5,21.5
"4","Cameroon",1,1434,4.8,25.2
"5","Lesotho",0,1849,6.2,22.1
"6","Malawi",0,8834,7.8,7.1
"7","Malawi",1,3229,5.3,17.9
"8","Namibia",0,2653,9.5,26
"9","Nigeria",0,12914,16.4,23.8
"10","Nigeria",1,5677,15.2,15.3
"11","Rwanda",0,4345,3.8,27.1
"12","Rwanda",1,732,2,2
"13","Sierra Leone",0,4176,9.4,11.4
"14","Tanzania",0,5571,6.7,6.3
"15","Tanzania",1,2910,4.5,19.1
"16","Togo",0,4238,11.3,32.6
"17","Zimbabwe",0,6764,6.3,23.6
