"","CountryName","primReformExp","Number of children","wasted","drought"
"1","Benin",0,6882,16.6,11.6
"2","Burundi",0,3216,6.2,12.2
"3","Cameroon",0,4969,6.5,22.6
"4","Cameroon",1,1434,4.8,32.3
"5","Lesotho",0,1849,6.2,26.9
"6","Malawi",0,8834,7.8,10.6
"7","Malawi",1,3229,5.3,15.6
"8","Namibia",0,2653,9.5,24.2
"9","Nigeria",0,12914,16.4,22.1
"10","Nigeria",1,5677,15.2,15.8
"11","Rwanda",0,4345,3.8,23.4
"12","Rwanda",1,732,2,2.7
"13","Sierra Leone",0,4176,9.4,12.7
"14","Tanzania",0,5571,6.7,10
"15","Tanzania",1,2910,4.5,20.9
"16","Togo",0,4238,11.3,31.3
"17","Zimbabwe",0,6764,6.3,24
