"","Country","Primary reform exposure","Number of children","% wasted","% exposed to drought"
"1","Benin",0,6882,16.6,16.2
"2","Burundi",0,3216,6.2,12.5
"3","Cameroon",0,4969,6.5,21.9
"4","Cameroon",1,1434,4.8,22.6
"5","Lesotho",0,1849,6.2,18.9
"6","Malawi",0,8834,7.8,4.8
"7","Malawi",1,3229,5.3,21
"8","Namibia",0,2653,9.5,25.7
"9","Nigeria",0,12914,16.4,24.2
"10","Nigeria",1,5677,15.2,12.2
"11","Rwanda",0,4345,3.8,13.9
"12","Rwanda",1,732,2,0.7
"13","Sierra Leone",0,4176,9.4,11.3
"14","Tanzania",0,5571,6.7,6.5
"15","Tanzania",1,2910,4.5,11.9
"16","Togo",0,4238,11.3,18.4
"17","Zimbabwe",0,6764,6.3,21.5
