"","Country","Primary reform exposure","Number of children","% wasted","% exposed to drought"
"1","Benin",0,4824,18.1,16.7
"2","Burundi",0,2259,6.9,9.4
"3","Cameroon",0,3551,7.5,21.7
"4","Cameroon",1,1069,6.1,25.7
"5","Lesotho",0,1336,7.2,21.6
"6","Malawi",0,6243,8.9,7.1
"7","Malawi",1,2329,5.8,17
"8","Namibia",0,2006,10.1,25.8
"9","Nigeria",0,9099,18.2,23.6
"10","Nigeria",1,4224,16.3,15.8
"11","Rwanda",0,2931,4.5,27.9
"12","Rwanda",1,547,1.8,2
"13","Sierra Leone",0,2985,10,11.8
"14","Tanzania",0,3910,7.6,6.3
"15","Tanzania",1,2192,5.1,18.4
"16","Togo",0,3019,12.9,32.7
"17","Zimbabwe",0,4836,7.4,23
