"","Country","Primary reform exposure","Number of children","% wasted","% exposed to drought"
"1","Benin",0,9880,15,16.9
"2","Burundi",0,4869,5,11.9
"3","Cameroon",0,7523,5.2,22.3
"4","Cameroon",1,1973,4.7,21.7
"5","Lesotho",0,2700,5.1,18.3
"6","Malawi",0,13257,6.2,4.9
"7","Malawi",1,4696,4.3,22.2
"8","Namibia",0,3677,8.9,26.5
"9","Nigeria",0,20392,13.9,24.7
"10","Nigeria",1,7851,13,11.7
"11","Rwanda",0,6486,2.9,13.6
"12","Rwanda",1,944,1.6,0.6
"13","Sierra Leone",0,6210,8.7,11.2
"14","Tanzania",0,8561,5.6,6.3
"15","Tanzania",1,3872,4,12.4
"16","Togo",0,4810,10.3,18.9
"17","Zimbabwe",0,9887,5.4,21.7
