"","Country","Primary reform exposure","Number of children","% wasted","% exposed to drought"
"1","Benin",0,4824,18.1,15.9
"2","Burundi",0,2259,6.9,12.6
"3","Cameroon",0,3551,7.5,22.5
"4","Cameroon",1,1069,6.1,22.6
"5","Lesotho",0,1336,7.2,18.7
"6","Malawi",0,6243,8.9,4.6
"7","Malawi",1,2329,5.8,20.3
"8","Namibia",0,2006,10.1,25.6
"9","Nigeria",0,9099,18.2,24
"10","Nigeria",1,4224,16.3,12.3
"11","Rwanda",0,2931,4.5,14.2
"12","Rwanda",1,547,1.8,0.5
"13","Sierra Leone",0,2985,10,11.7
"14","Tanzania",0,3910,7.6,6.7
"15","Tanzania",1,2192,5.1,11.2
"16","Togo",0,3019,12.9,18.6
"17","Zimbabwe",0,4836,7.4,21.2
